Country Name,Latitude (generated),Longitude (generated),CO2 Per Capita (metric tons)
Zimbabwe,-19.098,30.047,1.110956009
Zambia,-15.13,25.268,0.172173937
"Yemen, Rep.",15.569,47.793,0.822617805
West Bank and Gaza,32.097,35.26,0.271057676
Virgin Islands (U.S.),17.7289,-64.7592,
Vietnam,21.75,105.373,0.691020496
"Venezuela, RB",6.983,-64.588,6.226034565
Vanuatu,-15.339,166.89,0.435939003
Uzbekistan,41.757,63.958,4.91102258
Uruguay,-32.948,-56.249,1.597639979
United States,40.0792,-98.8164,20.207614759
United Kingdom,52.289,-1.259,9.199798297
United Arab Emirates,23.9299,53.9031,36.904101074
Ukraine,49.364,32.132,6.523008856
Uganda,1.9392,32.7415,0.064518456
Tuvalu,-7.4786,178.6758,
Turks and Caicos Islands,21.7779,-71.7592,0.777071413
Turkmenistan,39.584,59.597,7.856311088
Turkey,39.144,34.188,3.417943997
Tunisia,35.594,9.421,2.085612248
Trinidad and Tobago,10.4435,-61.2604,18.844281456
Tonga,-21.167,-175.19,0.973891193
Togo,7.7,1.106,0.278331027
Timor-Leste,-8.856,125.556,
Thailand,15.688,100.845,3.004394232
Tanzania,-5.651,34.146,0.077996969
Tajikistan,38.367,72.597,0.36159312
Syrian Arab Republic,35.303,38.322,3.121447409
Switzerland,46.7794,8.0329,5.435484985
Sweden,66.2188,19,5.562430083
Suriname,4.248,-55.848,4.424036559
Sudan,15.739,29.533,0.159133714
St. Vincent and the Grenadines,13.2528,-61.1949,1.359444656
St. Martin (French part),18.0848,-63.0507,
St. Lucia,13.909,-60.9776,2.102784981
St. Kitts and Nevis,17.147,-62.58,2.254435271
Sri Lanka,7.3,80.727,0.535978641
Spain,40.617,-3.388,7.312740021
South Sudan,7.1,30.48,
South Africa,-31.7,23.441,8.377511523
Somalia,2.875,43.446,0.070009191
Solomon Islands,-9.5987,160.1487,0.400195472
Slovenia,46.037,14.534,7.23840366
Slovak Republic,48.8595,19.4434,6.659329488
Sint Maarten (Dutch part),18.034,-63.0544,
Singapore,1.3389,103.8297,12.166624337
Sierra Leone,8.677,-11.779,0.104753135
Seychelles,-4.6841,55.4924,6.87017293
Serbia,44.021,20.699,
Senegal,15.044,-15.081,0.399404376
Saudi Arabia,24.191,44.32,13.880494373
Sao Tome and Principe,0.216,6.595,0.347547461
San Marino,43.942,12.4611,
Samoa,-13.6221,-172.439,0.798023068
Rwanda,-1.887,29.904,0.065826007
Russian Federation,64.736,104.062,10.628571359
Romania,45.933,25.119,4.009474191
Qatar,25.3174,51.1522,58.522169405
Puerto Rico,18.242,-66.643,
Portugal,40.957,-7.9373,6.119210997
Poland,52.442,19.72,7.822510786
Philippines,17.181,121.256,0.94065037
Peru,-12.664,-72.98,1.169087406
Paraguay,-23.266,-58.409,0.695683315
Papua New Guinea,-5.636,142.798,0.496070655
Panama,8.348,-81.005,1.911742827
Palau,7.5288,134.5573,6.119954105
Pakistan,28.1854,66.6429,0.769974452
Oman,19.85,56.25,9.777452741
Norway,61.3701,9.3031,8.624168024
Northern Mariana Islands,15.1905,145.7471,
Nigeria,9.3417,7.678,0.644398134
Niger,16.996,9.915,0.070892901
Nicaragua,12.692,-85.03,0.748457863
New Zealand,-42.558,172.377,8.527531171
New Caledonia,-21.02,165.062,10.782765089
Netherlands,52.1704,5.0102,10.383089763
Nepal,28.2114,83.5608,0.136237331
Namibia,-21.276,17.219,0.865572541
Myanmar,21.841,96.05,0.211620752
Mozambique,-13.852,38.042,0.073883946
Morocco,31.129,-7.355,1.171137629
Montenegro,42.857,19.096,
Mongolia,46.516,102.564,3.130987746
Monaco,43.7384,7.4243,
Moldova,47.524,28.444,0.965214233
"Micronesia, Fed. Sts.",7.531,150.457,1.26295262
Mexico,22.925,-101.68,3.720588299
Mauritius,-20.2529,57.5902,2.267789393
Mauritania,19.413,-10.6528,0.432776762
Marshall Islands,5.961,169.651,1.476332892
Malta,35.9024,14.4137,5.413532514
Mali,18.211,-2.209,0.074356251
Maldives,4.221,73.463,1.743748252
Malaysia,4.416,102.099,5.405598437
Malawi,-13.2731,33.7428,0.080919359
Madagascar,-19.615,46.645,0.119012988
"Macao SAR, China",22.1404,113.5643,3.786653145
Luxembourg,49.671,6.113,18.885512262
Lithuania,55.342,24.23,3.4862076
Liechtenstein,47.1593,9.547,
Libya,27.24,17.571,8.827297282
Liberia,6.51,-9.33,0.150891365
Lesotho,-29.446,28.371,
Lebanon,34.161,36.021,4.724037362
Latvia,57.017,25.0173,2.636157209
Lao PDR,19.595,102.538,0.181878534
Kyrgyz Republic,41.741,75.043,0.924535563
Kuwait,29.3169,47.4272,27.759022944
Kosovo,42.546,20.921,
"Korea, Rep.",36.338,128.16,9.52093176
"Korea, Dem. People’s Rep.",,,3.358066547
Kiribati,2.048,-158.59,0.391003009
Kenya,0.806,38.166,0.335350781
Kazakhstan,48.866,69.772,8.584553321
Jordan,30.681,36.279,3.232800292
Japan,35.962,137.855,9.613881066
Jamaica,18.163,-77.477,3.985086057
Italy,44.3713,11.1084,7.912673166
Israel,30.992,34.834,9.582362538
Isle of Man,54.2362,-4.5149,
Ireland,53.214,-7.588,10.836670018
Iraq,33.545,43.278,3.073001789
"Iran, Islamic Rep.",33.408,54.0418,5.659871345
Indonesia,-0.739,114.045,1.245241619
India,22.741,78.236,1.126420999
Iceland,64.826,-18.417,7.693782116
Hungary,47.174,19.618,5.465860201
"Hong Kong SAR, China",22.4114,114.0599,6.07131958
Honduras,14.881,-87.123,0.805872102
Haiti,19.3175,-72.4205,0.159990488
Guyana,5.17,-58.939,2.168922069
Guinea-Bissau,12.191,-14.475,0.111505145
Guinea,10.599,-10.907,0.145443687
Guatemala,15.124,-90.711,0.848306649
Guam,13.45,144.7579,
Grenada,12.111,-61.6867,1.876441645
Greenland,71,-39,9.461120996
Greece,39.787,21.617,8.47843382
Ghana,7.258,-1.062,0.334072085
Germany,51.3819,9.9877,10.095639883
Georgia,42.05,43.576,1.026657085
"Gambia, The",13.499,-14.641,0.223804444
Gabon,-0.406,11.914,0.854557841
French Polynesia,-17.529,-149.53,2.65828792
France,46.656,2.543,5.976826414
Finland,62.716,26.192,10.12847414
Fiji,-17.7941,177.9783,1.066799142
Faroe Islands,62.1252,-7.0174,14.82859048
Ethiopia,8.435,38.786,0.087585994
Estonia,58.777,25.977,10.867246248
Eritrea,15.982,38.02,0.172190987
Equatorial Guinea,1.6342,10.4695,0.856491667
El Salvador,13.848,-89.229,0.988073648
"Egypt, Arab Rep.",26.16,28.742,2.068140433
Ecuador,-1.151,-78.308,1.658318708
Dominican Republic,19.01,-70.1685,2.311300988
Dominica,15.4238,-61.3411,1.473557313
Djibouti,11.41,42.165,0.502424705
Denmark,56.113,9.096,9.613175554
Czech Republic,49.848,15.2812,12.060797969
Cyprus,34.894,32.928,7.261794131
Curacao,12.2129,-69.0407,
Cuba,20.571,-76.456,2.346304827
Croatia,45.754,16.385,4.438345911
Cote d'Ivoire,7.497,-5.336,0.411145743
Costa Rica,10.126,-84.075,1.394701499
"Congo, Rep.",0.509,16.08,0.33730179
"Congo, Dem. Rep.",-1.418,23.607,0.034266988
Comoros,-11.6527,43.3307,0.153992361
Colombia,3.794,-73.606,1.433620205
China,35.1753,99.3877,2.696862433
Chile,-23.176,-69.201,3.876961939
Channel Islands,49.4632,-2.5827,
Chad,15.981,18.781,0.021096635
Central African Republic,7.043,21.424,0.071843143
Cayman Islands,19.3299,-81.1715,10.908192395
Canada,59.2067,-111.1937,17.370451613
Cameroon,4.4,12.131,0.215493084
Cambodia,12.69,104.444,0.162037088
Cabo Verde,15.416,-23.36,0.426262203
Burundi,-3.333,29.749,0.042809203
Burkina Faso,12.673,-1.226,0.089716835
Bulgaria,42.625,24.521,5.328034342
Brunei Darussalam,4.452,114.557,18.470673475
Brazil,-11.694,-48.978,1.865808376
Botswana,-22.126,23.662,2.462152312
Bosnia and Herzegovina,44.342,17.804,3.635213155
Bolivia,-16.71,-65.183,1.225922572
Bhutan,27.5342,90.3002,0.708458366
Bermuda,32.3019,-64.7737,8.006161758
Benin,10.478,2.274,0.230065879
Belize,17.108,-88.744,2.7875558
Belgium,50.6745,4.4588,11.207847238
Belarus,53.3292,27.9492,5.34418061
Barbados,13.1898,-59.559,4.403041825
Bangladesh,24.598,90.1963,0.212287044
Bahrain,26.025,50.5534,27.956644248
"Bahamas, The",24.7032,-78.0455,5.600991638
Azerbaijan,40.46,47.883,3.666271029
Austria,47.65,14.705,7.762359194
Australia,-24.578,133.582,17.202524409
Aruba,12.5176,-69.9818,25.547678795
Armenia,40.56,44.449,1.126529454
Argentina,-33.166,-64.31,3.806975725
Antigua and Barbuda,17.625,-61.786,4.439238615
Angola,-12.836,17.808,0.633625299
Andorra,42.5425,1.5893,8.018180706
American Samoa,-14.3018,-170.7511,
Algeria,28.6045,2.64,2.819778007
Albania,40.654,20.076,0.978174681
Afghanistan,34.023,65.5267,0.03964437
